Ticker,Company,Industry
AES,The AES Corporation Common Stock,Electric Utilities: Central
AESI,Atlas Energy Solutions Inc. Common Stock,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AEVA,Aeva Technologies Inc. Common Stock,Auto Parts:O.E.M.
AEYE,AudioEye Inc. Common Stock,Computer Software: Prepackaged Software
AFB,AllianceBernstein National Municipal Income Fund Inc,Trusts Except Educational Religious and Charitable
AFBI,Affinity Bancshares Inc. Common Stock (MD),Banks
AFCG,Advanced Flower Capital Inc. Common Stock,Real Estate
AFG,American Financial Group Inc. Common Stock,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,Property-Casualty Insurers
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,Property-Casualty Insurers
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,
AFJKR,Aimei Health Technology Co. Ltd Right,
AFJKU,Aimei Health Technology Co. Ltd Unit,
AFL,AFLAC Incorporated Common Stock,Accident &Health Insurance
AFMD,Affimed N.V.,Biotechnology: Pharmaceutical Preparations
AFRI,Forafric Global PLC Ordinary Shares,Packaged Foods
AFRIW,Forafric Global PLC Warrants,Packaged Foods
AFRM,Affirm Holdings Inc. Class A Common Stock,Finance: Consumer Services
AFYA,Afya Limited Class A Common Shares,Other Consumer Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Precious Metals
AGAE,Allied Gaming & Entertainment Inc. Common Stock,Services-Misc. Amusement & Recreation
AGCO,AGCO Corporation Common Stock,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,Trusts Except Educational Religious and Charitable
AGEN,Agenus Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
AGFY,Agrify Corporation Common Stock,Farming/Seeds/Milling
AGI,Alamos Gold Inc. Class A Common Shares,Precious Metals
AGIO,Agios Pharmaceuticals Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
AGL,agilon health inc. Common Stock,Misc Health and Biotechnology Services
AGM,Federal Agricultural Mortgage Corporation Common Stock,Finance Companies
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,EDP Services
AGNC,AGNC Investment Corp. Common Stock,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd. Common Stock,Property-Casualty Insurers
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,Metal Fabrications
AGRO,Adecoagro S.A. Common Shares,Farming/Seeds/Milling
AGS,PlayAGS Inc. Common Stock,Miscellaneous manufacturing industries
AGX,Argan Inc. Common Stock,Engineering & Construction
AGYS,Agilysys Inc. Common Stock (DE),EDP Services
AHCO,AdaptHealth Corp. Common Stock,Medical/Nursing Services
AHG,Akso Health Group ADS,Business Services
AHH,Armada Hoffler Properties Inc. Common Stock,Real Estate
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,
AHL^F,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th Interest in a 7.00% Perpetual Non-Cumulative Preference Share,
AHR,American Healthcare REIT Inc. Common Stock,Real Estate Investment Trusts
AHT,Ashford Hospitality Trust Inc Common Stock,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,
AI,C3.ai Inc. Class A Common Stock,Computer Software: Prepackaged Software
AIEV,Thunder Power Holdings Inc. Common Stock,Auto Manufacturing
AIFF,Firefly Neuroscience Inc. Common Stock,Computer Software: Prepackaged Software
AIFU,AIX Inc. American Depositary Shares,Specialty Insurers
AIG,American International Group Inc. New Common Stock,Life Insurance
AIHS,Senmiao Technology Limited Common Stock,Finance: Consumer Services
AIM,AIM ImmunoTech Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
AIMAU,Aimfinity Investment Corp. I Unit,Blank Checks
AIMAW,Aimfinity Investment Corp. I Warrant,Blank Checks
AIMBU,Aimfinity Investment Corp. I Subunit,Blank Checks
AIMD,Ainos Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
AIMDW,Ainos Inc. Warrants,Biotechnology: Pharmaceutical Preparations
AIN,Albany International Corporation Common Stock,Textiles
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,Finance/Investors Services
AIOT,PowerFleet Inc. Common Stock,Telecommunications Equipment
AIP,Arteris Inc. Common Stock,Semiconductors
AIR,AAR Corp. Common Stock,Aerospace
AIRE,reAlpha Tech Corp. Common Stock,Real Estate
AIRG,Airgain Inc. Common Stock,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group Common Stock,Military/Government/Technical
AIRJ,AirJoule Technologies Corporation Class A Common Stock,Industrial Machinery/Components
AIRJW,AirJoule Technologies Corporation Warrant,Industrial Machinery/Components
AIRS,AirSculpt Technologies Inc. Common Stock,Medical/Nursing Services
AIRT,Air T Inc. Common Stock,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,Air Freight/Delivery Services
AISP,Airship AI Holdings Inc. Class A Common Stock,Computer Software: Prepackaged Software
AISPW,Airship AI Holdings Inc. Warrants,Computer Software: Prepackaged Software
AIT,Applied Industrial Technologies Inc. Common Stock,Industrial Specialties
AITR,AI TRANSPORTATION ACQUISITION CORP Ordinary shares,
AITRR,AI TRANSPORTATION ACQUISITION CORP Right,
AITRU,AI TRANSPORTATION ACQUISITION CORP Unit,
AIV,Apartment Investment and Management Company Common Stock,Real Estate Investment Trusts
AIXI,XIAO-I Corporation American Depositary Shares,Computer Software: Prepackaged Software
AIZ,Assurant Inc. Common Stock,Property-Casualty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co. Common Stock,Specialty Insurers
AKA,a.k.a. Brands Holding Corp. Common Stock,Catalog/Specialty Distribution
AKAM,Akamai Technologies Inc. Common Stock,Business Services
AKAN,Akanda Corp. Common Shares, Medicinal Chemicals and Botanical Products 
AKBA,Akebia Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
AKO/A,Embotelladora Andina S.A.,
AKO/B,Embotelladora Andina S.A.,
AKR,Acadia Realty Trust Common Stock,Real Estate Investment Trusts
AKRO,Akero Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
AKTX,Akari Therapeutics plc ADS,Biotechnology: Pharmaceutical Preparations
AKYA,Akoya BioSciences Inc. Common Stock,Biotechnology: Laboratory Analytical Instruments
AL,Air Lease Corporation Class A Common Stock,Diversified Commercial Services
ALAB,Astera Labs Inc. Common Stock,Semiconductors
ALAR,Alarum Technologies Ltd. American Depositary Share,Computer Software: Prepackaged Software
ALB,Albemarle Corporation Common Stock,Major Chemicals
ALB^A,Albemarle Corporation Depositary Shares each representing a 1/20th of 7.25% Series A Mandatory Convertible Preferred Stock,
ALBT,Avalon GloboCare Corp. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
ALC,Alcon Inc. Ordinary Shares,Ophthalmic Goods
ALCE,Alternus Clean Energy Inc. Class A Common Stock,Power Generation
ALCO,Alico Inc. Common Stock,
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,Blank Checks
ALCYW,Alchemy Investments Acquisition Corp 1 Warrants,Blank Checks
ALDF,Aldel Financial II Inc. Class A Ordinary Shares,
ALDFU,Aldel Financial II Inc. Units,Blank Checks
ALDFW,Aldel Financial II Inc. Warrants,
ALDX,Aldeyra Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
ALE,Allete Inc.,Power Generation
ALEC,Alector Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,Real Estate Investment Trusts
ALF,Centurion Acquisition Corp. Class A Ordinary Shares,
ALFUU,Centurion Acquisition Corp. Unit,
ALFUW,Centurion Acquisition Corp. Warrant,Blank Checks
ALG,Alamo Group Inc. Common Stock,Industrial Machinery/Components
ALGM,Allegro MicroSystems Inc. Common Stock,Semiconductors
ALGN,Align Technology Inc. Common Stock,Industrial Specialties
ALGS,Aligos Therapeutics Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
ALGT,Allegiant Travel Company Common Stock,Air Freight/Delivery Services
ALHC,Alignment Healthcare Inc. Common Stock,Medical Specialities
ALIT,Alight Inc. Class A Common Stock,Business Services
ALK,Alaska Air Group Inc. Common Stock,Air Freight/Delivery Services
ALKS,Alkermes plc Ordinary Shares,Biotechnology: Pharmaceutical Preparations
ALKT,Alkami Technology Inc. Common Stock,Computer Software: Prepackaged Software
ALL,Allstate Corporation (The) Common Stock,Property-Casualty Insurers
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,
ALL^J,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series J,
ALLE,Allegion plc Ordinary Shares,Diversified Commercial Services
ALLK,Allakos Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
ALLO,Allogene Therapeutics Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
ALLR,Allarity Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
ALLT,Allot Ltd. Ordinary Shares,Computer Communications Equipment
ALLY,Ally Financial Inc. Common Stock,Major Banks
ALMS,Alumis Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
ALNT,Allient Inc. Common Stock,Electrical Products
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
ALOT,AstroNova Inc. Common Stock,Computer peripheral equipment
ALRM,Alarm.com Holdings Inc. Common Stock,Computer Software: Prepackaged Software
ALRS,Alerus Financial Corporation Common Stock,Major Banks
ALSN,Allison Transmission Holdings Inc. Common Stock,Auto Parts:O.E.M.
ALT,Altimmune Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
ALTG,Alta Equipment Group Inc. Class A Common Stock,Industrial Machinery/Components
ALTG^A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),
ALTI,AlTi Global Inc. Class A Common Stock,Investment Managers
ALTM,Arcadium Lithium plc Ordinary Shares,Major Chemicals
ALTO,Alto Ingredients Inc. Common Stock,Major Chemicals
ALTR,Altair Engineering Inc. Class A Common Stock,Computer Software: Prepackaged Software
ALTS,ALT5 Sigma Corporation Common Stock,Home Furnishings
ALUR,Allurion Technologies Inc. Common Stock,Medical/Dental Instruments
ALV,Autoliv Inc. Common Stock,Auto Parts:O.E.M.
ALVO,Alvotech Ordinary Shares,Biotechnology: Biological Products (No Diagnostic Substances)
ALVOW,Alvotech Warrant,Biotechnology: Biological Products (No Diagnostic Substances)
ALVR,AlloVir Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
ALX,Alexander's Inc. Common Stock,Real Estate Investment Trusts
ALXO,ALX Oncology Holdings Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
ALZN,Alzamend Neuro Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
AM,Antero Midstream Corporation Common Stock,Natural Gas Distribution
AMAL,Amalgamated Financial Corp. Common Stock (DE),Major Banks
AMAT,Applied Materials Inc. Common Stock,Semiconductors
AMBA,Ambarella Inc. Ordinary Shares,Semiconductors
AMBC,Ambac Financial Group Inc. Common Stock,Property-Casualty Insurers
AMBI,Ambipar Emergency Response Class A Ordinary Shares,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),Other Consumer Services
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,Containers/Packaging
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,Movies/Entertainment
AMCR,Amcor plc Ordinary Shares,Miscellaneous manufacturing industries
AMCX,AMC Networks Inc. Class A Common Stock,Cable & Other Pay Television Services
AMD,Advanced Micro Devices Inc. Common Stock,Semiconductors
AME,AMETEK Inc.,Industrial Machinery/Components
AMED,Amedisys Inc Common Stock,Medical/Nursing Services
AMG,Affiliated Managers Group Inc. Common Stock,Investment Managers
AMGN,Amgen Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,Real Estate Investment Trusts
AMH^G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,
AMH^H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,
AMIX,Autonomix Medical Inc. Common Stock,Medical/Dental Instruments
AMKR,Amkor Technology Inc. Common Stock,Semiconductors
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
AMN,AMN Healthcare Services Inc,Professional Services
AMOD,Alpha Modus Holdings Inc. Class A Common Stock,Multi-Sector Companies
AMODW,Alpha Modus Holdings Inc. Warrant,Multi-Sector Companies
AMP,Ameriprise Financial Inc. Common Stock,Investment Managers
AMPG,Amplitech Group Inc. Common Stock,Telecommunications Equipment
AMPGW,Amplitech Group Inc. Warrants,Telecommunications Equipment
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
AMPL,Amplitude Inc. Class A Common Stock,Computer Software: Prepackaged Software
AMPS,Altus Power Inc. Class A Common Stock,Electric Utilities: Central
AMPX,Amprius Technologies Inc. Common Stock,Industrial Machinery/Components
AMPY,Amplify Energy Corp. Common Stock,Oil & Gas Production
AMR,Alpha Metallurgical Resources Inc. Common Stock,Coal Mining
AMRC,Ameresco Inc. Class A Common Stock,Engineering & Construction
AMRK,A-Mark Precious Metals Inc. Common Stock,Other Specialty Stores
AMRN,Amarin Corporation plc,Biotechnology: Pharmaceutical Preparations
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,Medical Specialities
AMSC,American Superconductor Corporation Common Stock,Metal Fabrications
AMSF,AMERISAFE Inc. Common Stock,Property-Casualty Insurers
AMST,Amesite Inc. Common Stock,Computer Software: Prepackaged Software
AMT,American Tower Corporation (REIT) Common Stock,Real Estate Investment Trusts
AMTB,Amerant Bancorp Inc. Class A Common Stock,Major Banks
AMTD,AMTD IDEA Group American Depositary Shares each representing six (6) Class A Ordinary Shares,Finance: Consumer Services
AMTM,Amentum Holdings Inc. Common Stock,
AMTX,Aemetis Inc. (DE) Common Stock,Major Chemicals
AMWD,American Woodmark Corporation Common Stock,Forest Products
AMWL,American Well Corporation Class A Common Stock,Business Services
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares,Telecommunications Equipment
AMZN,Amazon.com Inc. Common Stock,Catalog/Specialty Distribution
AN,AutoNation Inc. Common Stock,Retail-Auto Dealers and Gas Stations
ANAB,AnaptysBio Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
ANDE,Andersons Inc. (The) Common Stock,Farming/Seeds/Milling
ANEB,Anebulo Pharmaceuticals Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
