Ticker,Equity Bond,Price Rating,Justification
AGNCN,1.2631689684180507,4.41,Cheap: Equity Bond value of 1.2631689684180507% is lower than the treasury rate of 4.0%. 
AGYS,0.6618818703938559,4.41,Cheap: Equity Bond value of 0.6618818703938559% is lower than the treasury rate of 4.0%. 
AHCO,-52.53021221625582,4.38,Cheap: Equity Bond value of -52.53021221625582% is lower than the treasury rate of 4.0%. 
AIMD,-153.94137633365887,4.32,Cheap: Equity Bond value of -153.94137633365887% is lower than the treasury rate of 4.0%. 
AIOT,-0.642177713496437,4.41,Cheap: Equity Bond value of -0.642177713496437% is lower than the treasury rate of 4.0%. 
AIP,-7.6312950329512335,4.4,Cheap: Equity Bond value of -7.6312950329512335% is lower than the treasury rate of 4.0%. 
AIRE,-8.769671869714863,4.4,Cheap: Equity Bond value of -8.769671869714863% is lower than the treasury rate of 4.0%. 
AIRG,-16.37788941254934,4.4,Cheap: Equity Bond value of -16.37788941254934% is lower than the treasury rate of 4.0%. 
AIRS,1.0527390817157145,4.41,Cheap: Equity Bond value of 1.0527390817157145% is lower than the treasury rate of 4.0%. 
AIRT,-20.084625391750148,4.39,Cheap: Equity Bond value of -20.084625391750148% is lower than the treasury rate of 4.0%. 
AIRTP,-21.884492564908943,4.39,Cheap: Equity Bond value of -21.884492564908943% is lower than the treasury rate of 4.0%. 
AITR,-0.0422680800228703,4.41,Cheap: Equity Bond value of -0.0422680800228703% is lower than the treasury rate of 4.0%. 
AKAM,4.432251473390327,4.41,Expensive: Equity Bond value of 4.432251473390327% is higher than the treasury rate of 4.0%.
AKBA,-11.225966251130568,4.4,Cheap: Equity Bond value of -11.225966251130568% is lower than the treasury rate of 4.0%. 
AKRO,-3.697122885547113,4.4,Cheap: Equity Bond value of -3.697122885547113% is lower than the treasury rate of 4.0%. 
AKYA,-46.5901300543643,4.38,Cheap: Equity Bond value of -46.5901300543643% is lower than the treasury rate of 4.0%. 
ALAB,-0.1474531234593706,4.41,Cheap: Equity Bond value of -0.1474531234593706% is lower than the treasury rate of 4.0%. 
ALBT,-457.1383087857296,4.16,Cheap: Equity Bond value of -457.1383087857296% is lower than the treasury rate of 4.0%. 
ALCE,-1888.984558183575,3.38,Cheap: Equity Bond value of -1888.984558183575% is lower than the treasury rate of 4.0%. 
ALCO,1.065940059500245,4.41,Cheap: Equity Bond value of 1.065940059500245% is lower than the treasury rate of 4.0%. 
ALCY,6.51624584793114,4.41,Expensive: Equity Bond value of 6.51624584793114% is higher than the treasury rate of 4.0%.
ALDX,-12.194216837890956,4.4,Cheap: Equity Bond value of -12.194216837890956% is lower than the treasury rate of 4.0%. 
ALEC,-77.93998988751996,4.36,Cheap: Equity Bond value of -77.93998988751996% is lower than the treasury rate of 4.0%. 
ALGM,4.999302406918462,4.41,Expensive: Equity Bond value of 4.999302406918462% is higher than the treasury rate of 4.0%.
ALGN,3.9797580032367095,4.41,Cheap: Equity Bond value of 3.9797580032367095% is lower than the treasury rate of 4.0%. 
ALGS,-111.12334105081467,4.35,Cheap: Equity Bond value of -111.12334105081467% is lower than the treasury rate of 4.0%. 
ALGT,8.864647503571362,4.41,Expensive: Equity Bond value of 8.864647503571362% is higher than the treasury rate of 4.0%.
ALHC,-5.029752703763175,4.4,Cheap: Equity Bond value of -5.029752703763175% is lower than the treasury rate of 4.0%. 
ALKT,-1.7853335134427557,4.4,Cheap: Equity Bond value of -1.7853335134427557% is lower than the treasury rate of 4.0%. 
ALLK,-849.4089352285364,3.95,Cheap: Equity Bond value of -849.4089352285364% is lower than the treasury rate of 4.0%. 
ALLO,-93.46363170488355,4.35,Cheap: Equity Bond value of -93.46363170488355% is lower than the treasury rate of 4.0%. 
ALLR,-237.99642534121813,4.28,Cheap: Equity Bond value of -237.99642534121813% is lower than the treasury rate of 4.0%. 
ALMS,-44.11548856711705,4.38,Cheap: Equity Bond value of -44.11548856711705% is lower than the treasury rate of 4.0%. 
ALNT,7.219871396441854,4.41,Expensive: Equity Bond value of 7.219871396441854% is higher than the treasury rate of 4.0%.
ALNY,-1.2242185189490673,4.4,Cheap: Equity Bond value of -1.2242185189490673% is lower than the treasury rate of 4.0%. 
ALOT,4.054834547839121,4.41,Expensive: Equity Bond value of 4.054834547839121% is higher than the treasury rate of 4.0%.
ALRM,3.229597476096957,4.41,Cheap: Equity Bond value of 3.229597476096957% is lower than the treasury rate of 4.0%. 
ALRS,2.934018075239135,4.41,Cheap: Equity Bond value of 2.934018075239135% is lower than the treasury rate of 4.0%. 
ALT,-19.30978340993148,4.4,Cheap: Equity Bond value of -19.30978340993148% is lower than the treasury rate of 4.0%. 
ALTI,-89.32620004593704,4.36,Cheap: Equity Bond value of -89.32620004593704% is lower than the treasury rate of 4.0%. 
ALTO,-23.19204383005228,4.39,Cheap: Equity Bond value of -23.19204383005228% is lower than the treasury rate of 4.0%. 
ALTR,0.1904132886100869,4.41,Cheap: Equity Bond value of 0.1904132886100869% is lower than the treasury rate of 4.0%. 
ALTS,-20.587291130600484,4.39,Cheap: Equity Bond value of -20.587291130600484% is lower than the treasury rate of 4.0%. 
ALVR,-385.73009193519965,4.2,Cheap: Equity Bond value of -385.73009193519965% is lower than the treasury rate of 4.0%. 
ALXO,-230.97233514330728,4.28,Cheap: Equity Bond value of -230.97233514330728% is lower than the treasury rate of 4.0%. 
ALZN,-240.22647040587776,4.28,Cheap: Equity Bond value of -240.22647040587776% is lower than the treasury rate of 4.0%. 
AMAL,12.042368863425624,4.41,Expensive: Equity Bond value of 12.042368863425624% is higher than the treasury rate of 4.0%.
AMAT,5.309992585330495,4.41,Expensive: Equity Bond value of 5.309992585330495% is higher than the treasury rate of 4.0%.
AMBA,-2.258756464041796,4.4,Cheap: Equity Bond value of -2.258756464041796% is lower than the treasury rate of 4.0%. 
AMCX,95.9768425542837,4.46,Expensive: Equity Bond value of 95.9768425542837% is higher than the treasury rate of 4.0%.
AMD,0.2653170772520092,4.41,Cheap: Equity Bond value of 0.2653170772520092% is lower than the treasury rate of 4.0%. 
AMED,1.3127470185534142,4.41,Cheap: Equity Bond value of 1.3127470185534142% is lower than the treasury rate of 4.0%. 
AMGN,5.058696483596559,4.41,Expensive: Equity Bond value of 5.058696483596559% is higher than the treasury rate of 4.0%.
AMIX,-41.69586948983322,4.38,Cheap: Equity Bond value of -41.69586948983322% is lower than the treasury rate of 4.0%. 
AMKR,7.506217150039911,4.41,Expensive: Equity Bond value of 7.506217150039911% is higher than the treasury rate of 4.0%.
AMLX,18.527465697415305,4.42,Expensive: Equity Bond value of 18.527465697415305% is higher than the treasury rate of 4.0%.
AMPH,10.673660755742471,4.41,Expensive: Equity Bond value of 10.673660755742471% is higher than the treasury rate of 4.0%.
AMPL,-7.688911570816516,4.4,Cheap: Equity Bond value of -7.688911570816516% is lower than the treasury rate of 4.0%. 
AMRK,31.38729760561497,4.42,Expensive: Equity Bond value of 31.38729760561497% is higher than the treasury rate of 4.0%.
AMRX,-1.588858549813963,4.4,Cheap: Equity Bond value of -1.588858549813963% is lower than the treasury rate of 4.0%. 
AMSC,-3.353786997742421,4.4,Cheap: Equity Bond value of -3.353786997742421% is lower than the treasury rate of 4.0%. 
AMSF,8.123569553805774,4.41,Expensive: Equity Bond value of 8.123569553805774% is higher than the treasury rate of 4.0%.
AMST,-30.14078085052704,4.39,Cheap: Equity Bond value of -30.14078085052704% is lower than the treasury rate of 4.0%. 
AMTX,-93.6655488261927,4.35,Cheap: Equity Bond value of -93.6655488261927% is lower than the treasury rate of 4.0%. 
AMWD,10.772866504786242,4.41,Expensive: Equity Bond value of 10.772866504786242% is higher than the treasury rate of 4.0%.
AMZN,1.5044033895778637,4.41,Cheap: Equity Bond value of 1.5044033895778637% is lower than the treasury rate of 4.0%. 
ANAB,-32.276464401730486,4.39,Cheap: Equity Bond value of -32.276464401730486% is lower than the treasury rate of 4.0%. 
ANDE,12.423615823696217,4.41,Expensive: Equity Bond value of 12.423615823696217% is higher than the treasury rate of 4.0%.
ANEB,-17.84779066173052,4.4,Cheap: Equity Bond value of -17.84779066173052% is lower than the treasury rate of 4.0%. 
ANGI,-20.02133286076174,4.39,Cheap: Equity Bond value of -20.02133286076174% is lower than the treasury rate of 4.0%. 
ANGO,-12.18535125095926,4.4,Cheap: Equity Bond value of -12.18535125095926% is lower than the treasury rate of 4.0%. 
ANIK,-33.715963105592074,4.39,Cheap: Equity Bond value of -33.715963105592074% is lower than the treasury rate of 4.0%. 
ANIP,1.632678818477992,4.41,Cheap: Equity Bond value of 1.632678818477992% is lower than the treasury rate of 4.0%. 
ANIX,-11.014813759798528,4.4,Cheap: Equity Bond value of -11.014813759798528% is lower than the treasury rate of 4.0%. 
ANNX,-35.7764145858457,4.39,Cheap: Equity Bond value of -35.7764145858457% is lower than the treasury rate of 4.0%. 
ANSC,0.3596710200033063,4.41,Cheap: Equity Bond value of 0.3596710200033063% is lower than the treasury rate of 4.0%. 
ANSS,1.952581078273296,4.41,Cheap: Equity Bond value of 1.952581078273296% is lower than the treasury rate of 4.0%. 
ANTX,-198.75951244290368,4.3,Cheap: Equity Bond value of -198.75951244290368% is lower than the treasury rate of 4.0%. 
AOUT,-5.820459855880994,4.4,Cheap: Equity Bond value of -5.820459855880994% is lower than the treasury rate of 4.0%. 
APA,36.29719617670099,4.43,Expensive: Equity Bond value of 36.29719617670099% is higher than the treasury rate of 4.0%.
APDN,-106.70528856304011,4.35,Cheap: Equity Bond value of -106.70528856304011% is lower than the treasury rate of 4.0%. 
APEI,-13.703021755090298,4.4,Cheap: Equity Bond value of -13.703021755090298% is lower than the treasury rate of 4.0%. 
APGE,-4.791706044480174,4.4,Cheap: Equity Bond value of -4.791706044480174% is lower than the treasury rate of 4.0%. 
APLD,-2.8155988015059483,4.4,Cheap: Equity Bond value of -2.8155988015059483% is lower than the treasury rate of 4.0%. 
APLM,-1792.9461900622932,3.43,Cheap: Equity Bond value of -1792.9461900622932% is lower than the treasury rate of 4.0%. 
APLS,-14.85616399638893,4.4,Cheap: Equity Bond value of -14.85616399638893% is lower than the treasury rate of 4.0%. 
APLT,-182.9832582763244,4.31,Cheap: Equity Bond value of -182.9832582763244% is lower than the treasury rate of 4.0%. 
APOG,10.736068644379746,4.41,Expensive: Equity Bond value of 10.736068644379746% is higher than the treasury rate of 4.0%.
APP,0.3486821974095047,4.41,Cheap: Equity Bond value of 0.3486821974095047% is lower than the treasury rate of 4.0%. 
APPF,0.1452796516572912,4.41,Cheap: Equity Bond value of 0.1452796516572912% is lower than the treasury rate of 4.0%. 
APPN,-7.308089643280653,4.4,Cheap: Equity Bond value of -7.308089643280653% is lower than the treasury rate of 4.0%. 
APPS,8.356358613494272,4.41,Expensive: Equity Bond value of 8.356358613494272% is higher than the treasury rate of 4.0%.
APRE,-68.70638588456359,4.37,Cheap: Equity Bond value of -68.70638588456359% is lower than the treasury rate of 4.0%. 
APVO,-293.9686460765668,4.25,Cheap: Equity Bond value of -293.9686460765668% is lower than the treasury rate of 4.0%. 
APYX,-39.8134198201089,4.38,Cheap: Equity Bond value of -39.8134198201089% is lower than the treasury rate of 4.0%. 
AQMS,-190.71139732993208,4.3,Cheap: Equity Bond value of -190.71139732993208% is lower than the treasury rate of 4.0%. 
AQST,-2.8936832537802566,4.4,Cheap: Equity Bond value of -2.8936832537802566% is lower than the treasury rate of 4.0%. 
AQU,4.50063026509699,4.41,Expensive: Equity Bond value of 4.50063026509699% is higher than the treasury rate of 4.0%.
ARAY,-3.082129348178227,4.4,Cheap: Equity Bond value of -3.082129348178227% is lower than the treasury rate of 4.0%. 
ARCB,8.781855385809507,4.41,Expensive: Equity Bond value of 8.781855385809507% is higher than the treasury rate of 4.0%.
ARCC,9.660390271563534,4.41,Expensive: Equity Bond value of 9.660390271563534% is higher than the treasury rate of 4.0%.
ARDX,-5.229226979625153,4.4,Cheap: Equity Bond value of -5.229226979625153% is lower than the treasury rate of 4.0%. 
AREB,-397.7296044600469,4.19,Cheap: Equity Bond value of -397.7296044600469% is lower than the treasury rate of 4.0%. 
AREC,-21.75850260357609,4.39,Cheap: Equity Bond value of -21.75850260357609% is lower than the treasury rate of 4.0%. 
ARHS,27.31951684750451,4.42,Expensive: Equity Bond value of 27.31951684750451% is higher than the treasury rate of 4.0%.
ARKO,5.779625455407633,4.41,Expensive: Equity Bond value of 5.779625455407633% is higher than the treasury rate of 4.0%.
ARKR,-12.260576404655934,4.4,Cheap: Equity Bond value of -12.260576404655934% is lower than the treasury rate of 4.0%. 
ARLP,18.23307279377132,4.42,Expensive: Equity Bond value of 18.23307279377132% is higher than the treasury rate of 4.0%.
AROW,8.605798368584674,4.41,Expensive: Equity Bond value of 8.605798368584674% is higher than the treasury rate of 4.0%.
ARQ,-4.634139352914849,4.4,Cheap: Equity Bond value of -4.634139352914849% is lower than the treasury rate of 4.0%. 
ARQT,-17.439360188966408,4.4,Cheap: Equity Bond value of -17.439360188966408% is lower than the treasury rate of 4.0%. 
ARRY,16.608885277590325,4.41,Expensive: Equity Bond value of 16.608885277590325% is higher than the treasury rate of 4.0%.
ARTL,-243.8485572195693,4.27,Cheap: Equity Bond value of -243.8485572195693% is lower than the treasury rate of 4.0%. 
ARTNA,7.802087805317701,4.41,Expensive: Equity Bond value of 7.802087805317701% is higher than the treasury rate of 4.0%.
ARTV,-23.257482737671435,4.39,Cheap: Equity Bond value of -23.257482737671435% is lower than the treasury rate of 4.0%. 
ARTW,12.86492783364266,4.41,Expensive: Equity Bond value of 12.86492783364266% is higher than the treasury rate of 4.0%.
ARVN,-30.97036884607332,4.39,Cheap: Equity Bond value of -30.97036884607332% is lower than the treasury rate of 4.0%. 
ARWR,-8.809839045459565,4.4,Cheap: Equity Bond value of -8.809839045459565% is lower than the treasury rate of 4.0%. 
ASLE,-2.144321079909919,4.4,Cheap: Equity Bond value of -2.144321079909919% is lower than the treasury rate of 4.0%. 
ASMB,-69.76428529621953,4.37,Cheap: Equity Bond value of -69.76428529621953% is lower than the treasury rate of 4.0%. 
ASNS,-81.7204656698902,4.36,Cheap: Equity Bond value of -81.7204656698902% is lower than the treasury rate of 4.0%. 
ASO,23.153046397172563,4.42,Expensive: Equity Bond value of 23.153046397172563% is higher than the treasury rate of 4.0%.
ASPI,-3.970897660893904,4.4,Cheap: Equity Bond value of -3.970897660893904% is lower than the treasury rate of 4.0%. 
ASRT,-328.50245143923183,4.23,Cheap: Equity Bond value of -328.50245143923183% is lower than the treasury rate of 4.0%. 
ASRV,-10.004847038303645,4.4,Cheap: Equity Bond value of -10.004847038303645% is lower than the treasury rate of 4.0%. 
ASST,-66.90264461571958,4.37,Cheap: Equity Bond value of -66.90264461571958% is lower than the treasury rate of 4.0%. 
ASTC,-85.20298825489797,4.36,Cheap: Equity Bond value of -85.20298825489797% is lower than the treasury rate of 4.0%. 
ASTE,5.698375211624741,4.41,Expensive: Equity Bond value of 5.698375211624741% is higher than the treasury rate of 4.0%.
ASTH,5.423928577586775,4.41,Expensive: Equity Bond value of 5.423928577586775% is higher than the treasury rate of 4.0%.
ASTI,-610.6580694644779,4.07,Cheap: Equity Bond value of -610.6580694644779% is lower than the treasury rate of 4.0%. 
ASTS,-5.137760763349684,4.4,Cheap: Equity Bond value of -5.137760763349684% is lower than the treasury rate of 4.0%. 
ASUR,-2.9432402184902497,4.4,Cheap: Equity Bond value of -2.9432402184902497% is lower than the treasury rate of 4.0%. 
ASYS,-21.249763805977985,4.39,Cheap: Equity Bond value of -21.249763805977985% is lower than the treasury rate of 4.0%. 
ATEC,-11.504859646805889,4.4,Cheap: Equity Bond value of -11.504859646805889% is lower than the treasury rate of 4.0%. 
ATER,-454.6477808574672,4.16,Cheap: Equity Bond value of -454.6477808574672% is lower than the treasury rate of 4.0%. 
ATEX,-2.804762508723337,4.4,Cheap: Equity Bond value of -2.804762508723337% is lower than the treasury rate of 4.0%. 
ATHA,-608.7317217510703,4.08,Cheap: Equity Bond value of -608.7317217510703% is lower than the treasury rate of 4.0%. 
ATLC,15.575643850141946,4.41,Expensive: Equity Bond value of 15.575643850141946% is higher than the treasury rate of 4.0%.
ATLN,-2.147644891959123,4.4,Cheap: Equity Bond value of -2.147644891959123% is lower than the treasury rate of 4.0%. 
ATLO,8.082238791959275,4.41,Expensive: Equity Bond value of 8.082238791959275% is higher than the treasury rate of 4.0%.
ATLX,-46.01004221658088,4.38,Cheap: Equity Bond value of -46.01004221658088% is lower than the treasury rate of 4.0%. 
ATMC,2.447217749509905,4.41,Cheap: Equity Bond value of 2.447217749509905% is lower than the treasury rate of 4.0%. 
ATMV,6.620209923397362,4.41,Expensive: Equity Bond value of 6.620209923397362% is higher than the treasury rate of 4.0%.
ATNF,-527.3932233795064,4.12,Cheap: Equity Bond value of -527.3932233795064% is lower than the treasury rate of 4.0%. 
ATNI,-11.908897861103306,4.4,Cheap: Equity Bond value of -11.908897861103306% is lower than the treasury rate of 4.0%. 
ATOM,-8.305262051203826,4.4,Cheap: Equity Bond value of -8.305262051203826% is lower than the treasury rate of 4.0%. 
ATRA,-562.6527951073776,4.1,Cheap: Equity Bond value of -562.6527951073776% is lower than the treasury rate of 4.0%. 
ATRC,-1.5420773609481069,4.4,Cheap: Equity Bond value of -1.5420773609481069% is lower than the treasury rate of 4.0%. 
ATRO,-4.843371128416377,4.4,Cheap: Equity Bond value of -4.843371128416377% is lower than the treasury rate of 4.0%. 
ATSG,5.758662237584853,4.41,Expensive: Equity Bond value of 5.758662237584853% is higher than the treasury rate of 4.0%.
ATXI,-395.839787242908,4.19,Cheap: Equity Bond value of -395.839787242908% is lower than the treasury rate of 4.0%. 
ATXS,-17.383720140722208,4.4,Cheap: Equity Bond value of -17.383720140722208% is lower than the treasury rate of 4.0%. 
ATYR,-16.817254120312352,4.4,Cheap: Equity Bond value of -16.817254120312352% is lower than the treasury rate of 4.0%. 
AUBN,0.8439400298945955,4.41,Cheap: Equity Bond value of 0.8439400298945955% is lower than the treasury rate of 4.0%. 
AUID,-26.72778282489364,4.39,Cheap: Equity Bond value of -26.72778282489364% is lower than the treasury rate of 4.0%. 
AUR,-8.673771637002828,4.4,Cheap: Equity Bond value of -8.673771637002828% is lower than the treasury rate of 4.0%. 
AURA,-19.88152466225572,4.39,Cheap: Equity Bond value of -19.88152466225572% is lower than the treasury rate of 4.0%. 
AUUD,-341.1742302338881,4.22,Cheap: Equity Bond value of -341.1742302338881% is lower than the treasury rate of 4.0%. 
AVAH,-15.57030173701044,4.4,Cheap: Equity Bond value of -15.57030173701044% is lower than the treasury rate of 4.0%. 
AVAV,-3.859001737090576,4.4,Cheap: Equity Bond value of -3.859001737090576% is lower than the treasury rate of 4.0%. 
AVBP,-7.465638615721295,4.4,Cheap: Equity Bond value of -7.465638615721295% is lower than the treasury rate of 4.0%. 
AVDX,-2.1034736105669904,4.4,Cheap: Equity Bond value of -2.1034736105669904% is lower than the treasury rate of 4.0%. 
AVGO,1.4792584979472545,4.41,Cheap: Equity Bond value of 1.4792584979472545% is lower than the treasury rate of 4.0%. 
AVGR,-1040.0047181698762,3.84,Cheap: Equity Bond value of -1040.0047181698762% is lower than the treasury rate of 4.0%. 
AVIR,-54.71222539443548,4.38,Cheap: Equity Bond value of -54.71222539443548% is lower than the treasury rate of 4.0%. 
AVNW,8.59098357047952,4.41,Expensive: Equity Bond value of 8.59098357047952% is higher than the treasury rate of 4.0%.
AVO,-0.1084725288981664,4.41,Cheap: Equity Bond value of -0.1084725288981664% is lower than the treasury rate of 4.0%. 
AVPT,-0.5337034336523021,4.41,Cheap: Equity Bond value of -0.5337034336523021% is lower than the treasury rate of 4.0%. 
AVR,-20.986436727796963,4.39,Cheap: Equity Bond value of -20.986436727796963% is lower than the treasury rate of 4.0%. 
AVT,22.838440392230805,4.42,Expensive: Equity Bond value of 22.838440392230805% is higher than the treasury rate of 4.0%.
AVTE,-100.52463562899996,4.35,Cheap: Equity Bond value of -100.52463562899996% is lower than the treasury rate of 4.0%. 
AVTX,-37.44210901318133,4.39,Cheap: Equity Bond value of -37.44210901318133% is lower than the treasury rate of 4.0%. 
AVXL,-6.481661305347785,4.4,Cheap: Equity Bond value of -6.481661305347785% is lower than the treasury rate of 4.0%. 
AWRE,-21.38462735628823,4.39,Cheap: Equity Bond value of -21.38462735628823% is lower than the treasury rate of 4.0%. 
AXDX,-183.82339595574007,4.31,Cheap: Equity Bond value of -183.82339595574007% is lower than the treasury rate of 4.0%. 
AXGN,-2.753640465873158,4.4,Cheap: Equity Bond value of -2.753640465873158% is lower than the treasury rate of 4.0%. 
AXON,0.3088630970051039,4.41,Cheap: Equity Bond value of 0.3088630970051039% is lower than the treasury rate of 4.0%. 
AXSM,-4.576710611539812,4.4,Cheap: Equity Bond value of -4.576710611539812% is lower than the treasury rate of 4.0%. 
AXTI,-20.54650885203364,4.39,Cheap: Equity Bond value of -20.54650885203364% is lower than the treasury rate of 4.0%. 
AYRO,-776.9054512291364,3.98,Cheap: Equity Bond value of -776.9054512291364% is lower than the treasury rate of 4.0%. 
AYTU,-169.0734371083899,4.31,Cheap: Equity Bond value of -169.0734371083899% is lower than the treasury rate of 4.0%. 
AZPN,-1.0795527907693976,4.41,Cheap: Equity Bond value of -1.0795527907693976% is lower than the treasury rate of 4.0%. 
AZTA,-1.2786485513436052,4.4,Cheap: Equity Bond value of -1.2786485513436052% is lower than the treasury rate of 4.0%. 
BACK,-419.633192666066,4.18,Cheap: Equity Bond value of -419.633192666066% is lower than the treasury rate of 4.0%. 
BAER,-55.12331695012895,4.38,Cheap: Equity Bond value of -55.12331695012895% is lower than the treasury rate of 4.0%. 
BAFN,12.2025809424693,4.41,Expensive: Equity Bond value of 12.2025809424693% is higher than the treasury rate of 4.0%.
BAND,-4.292255288748727,4.4,Cheap: Equity Bond value of -4.292255288748727% is lower than the treasury rate of 4.0%. 
BANF,6.973506840291077,4.41,Expensive: Equity Bond value of 6.973506840291077% is higher than the treasury rate of 4.0%.
BANR,9.485980369155724,4.41,Expensive: Equity Bond value of 9.485980369155724% is higher than the treasury rate of 4.0%.
BANX,13.572784365736236,4.41,Expensive: Equity Bond value of 13.572784365736236% is higher than the treasury rate of 4.0%.
BASE,-7.296755462030781,4.4,Cheap: Equity Bond value of -7.296755462030781% is lower than the treasury rate of 4.0%. 
BATRA,-28.50715864551396,4.39,Cheap: Equity Bond value of -28.50715864551396% is lower than the treasury rate of 4.0%. 
BATRK,-6.365196746275909,4.4,Cheap: Equity Bond value of -6.365196746275909% is lower than the treasury rate of 4.0%. 
BBCP,9.198115535115983,4.41,Expensive: Equity Bond value of 9.198115535115983% is higher than the treasury rate of 4.0%.
BBGI,-1302.241615726182,3.7,Cheap: Equity Bond value of -1302.241615726182% is lower than the treasury rate of 4.0%. 
